experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index,meta.prompt,meta.correct_token,meta.incorrect_token,meta.mode,behaviour,split,model_size,graph_n_prompts,run_id,prep_timestamp,in_common_prompt_set,in_common_layer_set
ablation_zero,0,10,[35580],1.625,1.3125,-0.3125,0.3125,0.1923076911242603,False,graph,,True,L10_F35580,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,10,[83063],1.625,1.3125,-0.3125,0.3125,0.1923076911242603,False,graph,,True,L10_F83063,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,11,[35425],1.625,2.0,0.375,0.375,0.2307692293491124,False,graph,,True,L11_F35425,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,11,[114815],1.625,2.125,0.5,0.5,0.3076923057988165,False,graph,,True,L11_F114815,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,12,[60],1.625,1.5,-0.125,0.125,0.0769230764497041,False,graph,,True,L12_F60,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,12,[2451],1.625,1.4375,-0.1875,0.1875,0.1153846146745562,False,graph,,True,L12_F2451,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,13,[58969],1.625,1.375,-0.25,0.25,0.1538461528994082,False,graph,,True,L13_F58969,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,14,[89354],1.625,1.6875,0.0625,0.0625,0.038461538224852,False,graph,,True,L14_F89354,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,15,[64857],1.625,1.625,0.0,0.0,0.0,False,graph,,True,L15_F64857,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,16,[46637],1.625,2.0,0.375,0.375,0.2307692293491124,False,graph,,True,L16_F46637,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,16,[14097],1.625,2.0,0.375,0.375,0.2307692293491124,False,graph,,True,L16_F14097,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,16,[82587],1.625,1.875,0.25,0.25,0.1538461528994082,False,graph,,True,L16_F82587,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,17,[6720],1.625,1.5,-0.125,0.125,0.0769230764497041,False,graph,,True,L17_F6720,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,18,[152260],1.625,2.0,0.375,0.375,0.2307692293491124,False,graph,,True,L18_F152260,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,19,[94584],1.625,1.5,-0.125,0.125,0.0769230764497041,False,graph,,True,L19_F94584,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,20,[74959],1.625,2.125,0.5,0.5,0.3076923057988165,False,graph,,True,L20_F74959,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,20,[41392],1.625,2.1875,0.5625,0.5625,0.3461538440236686,False,graph,,True,L20_F41392,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,20,[21838],1.625,2.125,0.5,0.5,0.3076923057988165,False,graph,,True,L20_F21838,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,21,[101234],1.625,1.875,0.25,0.25,0.1538461528994082,False,graph,,True,L21_F101234,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
ablation_zero,0,22,[110496],1.625,2.375,0.75,0.75,0.4615384586982249,False,graph,,True,L22_F110496,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,5,20260408-233953_physics_decay_type_train_n5,2026-04-08T23:39:53.919847,True,True
