cluster,prompt_idx,correct_answer,wording_family,filter_property,baseline_nd,ablated_nd,delta_nd,sign_flip,promoted_competitor,new_top_candidate,correct_changed,logp_base_electron,logp_abl_electron,delta_logp_electron,logp_base_proton,logp_abl_proton,delta_logp_proton,logp_base_neutron,logp_abl_neutron,delta_logp_neutron,logp_base_photon,logp_abl_photon,delta_logp_photon
0,17,photon,F3_process_implicit,em_quantum,2.0338540077209473,-2.3042068481445312,-4.3380608558654785,True,proton,neutron,True,-9.486677169799805,-9.559962272644043,-0.07328510284423828,-10.982959747314453,-9.613424301147461,1.3695354461669922,-10.472700119018555,-9.490975379943848,0.981724739074707,-7.452823162078857,-11.795182228088379,-4.3423590660095215
0,24,electron,F2_contextual_implicit,negative_charge_atomic,6.285321474075317,1.5800275802612305,-4.705293893814087,False,neutron,electron,False,-3.9352519512176514,-8.969993591308594,-5.034741640090942,-10.220573425292969,-10.550021171569824,-0.32944774627685547,-12.178488731384277,-11.737980842590332,0.4405078887939453,-17.31900978088379,-16.912609100341797,0.4064006805419922
0,26,proton,F4_contrast_implicit,positive_charge_atomic,5.956902980804443,0.981654167175293,-4.97524881362915,False,neutron,proton,False,-9.808534622192383,-8.17996597290039,1.6285686492919922,-3.8167881965637207,-6.6568803787231445,-2.840092182159424,-9.773691177368164,-7.6385345458984375,2.1351566314697266,-15.277507781982422,-14.641158103942871,0.6363496780395508
0,30,proton,F2_contextual_implicit,positive_charge_atomic,6.950613021850586,6.170839309692383,-0.7797737121582031,False,electron,proton,False,-16.263776779174805,-12.111659049987793,4.152117729187012,-6.258571624755859,-5.570796966552734,0.687774658203125,-13.209184646606445,-11.741636276245117,1.4675483703613281,-19.687063217163086,-16.024717330932617,3.6623458862304688
0,31,electron,F1_direct_implicit,negative_charge_atomic,7.396416425704956,4.842970371246338,-2.553446054458618,False,proton,electron,False,-2.471031427383423,-5.705063343048096,-3.234031915664673,-9.867447853088379,-10.548033714294434,-0.6805858612060547,-11.069368362426758,-11.864279747009277,-0.7949113845825195,-16.845571517944336,-18.50336456298828,-1.6577930450439453
0,33,proton,F1_direct_implicit,positive_charge_atomic,7.407322406768799,2.8268117904663086,-4.58051061630249,False,electron,proton,False,-13.576028823852539,-8.818901062011719,4.75712776184082,-3.056755542755127,-5.084941864013672,-2.028186321258545,-10.464077949523926,-7.9117536544799805,2.5523242950439453,-18.32032012939453,-17.11665916442871,1.2036609649658203
0,35,photon,F3_process_implicit,em_quantum,8.228654861450195,1.1500921249389648,-7.0785627365112305,False,neutron,photon,False,-15.178390502929688,-11.88010025024414,3.298290252685547,-18.013137817382812,-14.512018203735352,3.501119613647461,-18.368017196655273,-14.79104995727539,3.576967239379883,-6.949735641479492,-10.730008125305176,-3.7802724838256836
0,42,electron,F3_process_implicit,negative_charge_atomic,9.422890663146973,4.024383544921875,-5.398507118225098,False,photon,electron,False,-7.551312446594238,-8.60132122039795,-1.050008773803711,-16.97420310974121,-12.625704765319824,4.348498344421387,-17.418827056884766,-13.09160327911377,4.327223777770996,-20.25734519958496,-15.854830741882324,4.402514457702637
0,46,neutron,F1_direct_implicit,neutral_charge_atomic,10.675970554351807,6.148107051849365,-4.527863502502441,False,electron,neutron,False,-14.039796829223633,-12.64950180053711,1.3902950286865234,-13.53719711303711,-14.587902069091797,-1.0507049560546875,-2.8612265586853027,-6.501394748687744,-3.6401681900024414,-17.672103881835938,-20.157503128051758,-2.4853992462158203
0,54,electron,F2_contextual_implicit,negative_charge_atomic,7.50752067565918,1.7719268798828125,-5.735593795776367,False,proton,electron,False,-8.687910079956055,-11.48452377319336,-2.7966136932373047,-16.195430755615234,-13.256450653076172,2.9389801025390625,-17.006053924560547,-15.28847885131836,1.7175750732421875,-22.869060516357422,-20.009193420410156,2.8598670959472656
0,62,photon,F2_contextual_implicit,em_quantum,2.869659423828125,-2.9782485961914062,-5.847908020019531,True,neutron,electron,True,-10.6583890914917,-10.932467460632324,-0.274078369140625,-13.780738830566406,-13.133033752441406,0.647705078125,-15.69644832611084,-13.971364974975586,1.725083351135254,-7.788729667663574,-13.91071605682373,-6.121986389160156
0,64,proton,F3_process_implicit,positive_charge_atomic,3.37088942527771,0.3384828567504883,-3.0324065685272217,False,photon,proton,False,-6.390633583068848,-10.222439765930176,-3.831806182861328,-2.8449509143829346,-9.634539604187012,-6.789588689804077,-6.2158403396606445,-9.9730224609375,-3.7571821212768555,-11.211421966552734,-11.98603630065918,-0.7746143341064453
0,67,photon,F4_contrast_implicit,em_quantum,6.686615943908691,1.6094551086425781,-5.077160835266113,False,proton,photon,False,-12.009028434753418,-9.746855735778809,2.2621726989746094,-14.90011215209961,-10.82367992401123,4.076432228088379,-13.807899475097656,-10.992276191711426,2.8156232833862305,-5.322412490844727,-8.13740062713623,-2.814988136291504
0,69,photon,F3_process_implicit,em_quantum,3.0596303939819336,-0.760035514831543,-3.8196659088134766,True,neutron,electron,True,-7.884645938873291,-9.444083213806152,-1.5594372749328613,-11.862072944641113,-13.069869041442871,-1.2077960968017578,-13.63364028930664,-13.75883960723877,-0.1251993179321289,-4.825015544891357,-10.204118728637695,-5.379103183746338
0,71,proton,F2_contextual_implicit,positive_charge_atomic,4.535330772399902,1.1769962310791016,-3.358334541320801,False,photon,proton,False,-9.631328582763672,-9.303617477416992,0.3277111053466797,-5.0959978103637695,-8.12662124633789,-3.030623435974121,-11.776455879211426,-10.68661117553711,1.0898447036743164,-19.425065994262695,-16.048059463500977,3.3770065307617188
0,77,photon,F3_process_implicit,em_quantum,1.7706809043884277,0.3038158416748047,-1.466865062713623,False,neutron,photon,False,-8.952808380126953,-9.898687362670898,-0.9458789825439453,-13.027183532714844,-12.417203903198242,0.6099796295166016,-14.895343780517578,-12.952707290649414,1.942636489868164,-7.182127475738525,-9.594871520996094,-2.4127440452575684
