experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
ablation_zero,0,10,[128064],1.625,1.1875,-0.4375,0.4375,0.2692307675739645,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L10_F128064,-1
ablation_zero,0,10,[97799],1.625,1.25,-0.375,0.375,0.23076922934911245,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L10_F97799,-1
ablation_zero,0,10,[35580],1.625,1.3125,-0.3125,0.3125,0.19230769112426038,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L10_F35580,-1
ablation_zero,0,11,[151375],1.625,2.0625,0.4375,0.4375,0.2692307675739645,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L11_F151375,-1
ablation_zero,0,11,[35425],1.625,2.0,0.375,0.375,0.23076922934911245,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L11_F35425,-1
ablation_zero,0,11,[114815],1.625,2.125,0.5,0.5,0.30769230579881657,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L11_F114815,-1
ablation_zero,0,12,[2451],1.625,1.4375,-0.1875,0.1875,0.11538461467455623,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L12_F2451,-1
ablation_zero,0,13,[57499],1.625,1.3125,-0.3125,0.3125,0.19230769112426038,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L13_F57499,-1
ablation_zero,0,14,[140141],1.625,1.6875,0.0625,0.0625,0.03846153822485207,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L14_F140141,-1
ablation_zero,0,14,[24749],1.625,1.6875,0.0625,0.0625,0.03846153822485207,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L14_F24749,-1
ablation_zero,0,15,[15507],1.625,1.625,0.0,0.0,0.0,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L15_F15507,-1
ablation_zero,0,16,[46637],1.625,2.0,0.375,0.375,0.23076922934911245,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L16_F46637,-1
ablation_zero,0,16,[14097],1.625,2.0,0.375,0.375,0.23076922934911245,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L16_F14097,-1
ablation_zero,0,16,[82587],1.625,1.875,0.25,0.25,0.15384615289940828,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L16_F82587,-1
ablation_zero,0,17,[6720],1.625,1.5,-0.125,0.125,0.07692307644970414,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L17_F6720,-1
